Room Number,Name,Price,Bed Number,Area,State,Registration Time
01-001,a1,100,1,80,3,2023-10-01 12:00:00
01-002,b2,200,2,100,1,2023-10-01 12:00:00
01-003,c3,300,3,120,2,2023-10-01 12:00:00
01-004,d4,400,4,150,3,2023-10-01 12:00:00
01-005,e5,500,5,200,1,2023-10-01 12:00:00
01-006,f6,600,6,250,4,2023-10-01 12:00:00
01-007,g7,700,7,300,2,2023-10-01 12:00:00
01-008,h8,800,8,350,3,2023-10-01 12:00:00
01-009,i9,900,9,400,1,2023-10-01 12:00:00
01-010,j10,1000,10,450,1,2023-10-01 12:00:00
01-011,a2,90,2,100,1,2023-10-01 12:00:00
01-012,a2,100,2,100,2,2023-10-01 12:00:00
02-001,a3,100,2,80,1,2024-12-30 23:05:18
